,algorithm,bias,seed,recall,fpr_ratio,fnr_ratio,precision_ratio,tpr_ratio,config,parameters,model_path,Scenario
0,LGBM,group_size_50,0,0.7075226977950714,0.9619032375891083,0.9558974070532651,0.9492188014813445,0.9815283353121879,0,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.10290549156355729, 'max_depth': 11, 'min_child_samples': 18, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 2172, 'n_jobs': 30, 'num_leaves': 472, 'objective': None, 'random_state': None, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': True, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'enable_bundle': False}",none,Unbiased Baseline
1,LGBM,group_size_50,0,0.72568093385214,0.9960006177449936,0.9443964206723463,0.9813237594429977,0.9786089265933219,1,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.2683724274748871, 'max_depth': 3, 'min_child_samples': 221, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 41, 'n_jobs': 30, 'num_leaves': 73, 'objective': None, 'random_state': None, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': True, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'enable_bundle': False}",none,Unbiased Baseline
2,LGBM,group_size_50,0,0.7555123216601816,0.9711875557543906,0.9788873834925346,0.9776529106426014,0.9931189657812226,2,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.02385245813563474, 'max_depth': 3, 'min_child_samples': 146, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 450, 'n_jobs': 30, 'num_leaves': 495, 'objective': None, 'random_state': None, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': True, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'enable_bundle': False}",none,Unbiased Baseline
3,LGBM,group_size_50,0,0.17055771725032426,0.9952651512703276,0.9727258177453236,0.8798101616395578,0.8740251339863245,3,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.3320576962297955, 'max_depth': 4, 'min_child_samples': 5, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 3198, 'n_jobs': 30, 'num_leaves': 74, 'objective': None, 'random_state': None, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': True, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'enable_bundle': False}",none,Unbiased Baseline
4,LGBM,group_size_50,0,0.7665369649805448,0.9812848299221564,0.9722441322560704,0.9873959474958586,0.9914644592846403,4,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.05668118522358832, 'max_depth': 9, 'min_child_samples': 209, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 964, 'n_jobs': 30, 'num_leaves': 14, 'objective': None, 'random_state': None, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': True, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'enable_bundle': False}",none,Unbiased Baseline
5,LGBM,group_size_50,0,0.7574578469520103,0.9864816418978921,0.9634098182065771,0.9971597816351596,0.988135320052722,5,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.033387804990662476, 'max_depth': 11, 'min_child_samples': 17, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 4147, 'n_jobs': 30, 'num_leaves': 16, 'objective': None, 'random_state': None, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': True, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'enable_bundle': False}",none,Unbiased Baseline
6,LGBM,group_size_50,0,0.771076523994812,0.9604826381349764,0.9337937993419884,0.9796100837623992,0.979878063266289,6,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.10511624729762499, 'max_depth': 5, 'min_child_samples': 74, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 98, 'n_jobs': 30, 'num_leaves': 151, 'objective': None, 'random_state': None, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': True, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'enable_bundle': False}",none,Unbiased Baseline
7,LGBM,group_size_50,0,0.7367055771725033,0.9951548959985369,0.9855878714833963,0.9960390006093843,0.9948253557567918,7,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.03148102833492696, 'max_depth': 3, 'min_child_samples': 13, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 195, 'n_jobs': 30, 'num_leaves': 10, 'objective': None, 'random_state': None, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': True, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'enable_bundle': False}",none,Unbiased Baseline
8,LGBM,group_size_50,0,0.7652399481193255,0.9885607367840326,0.9948253557567915,0.9851437060739388,0.9984096580325449,8,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.055597831084956736, 'max_depth': 6, 'min_child_samples': 10, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 424, 'n_jobs': 30, 'num_leaves': 10, 'objective': None, 'random_state': None, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': True, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'enable_bundle': False}",none,Unbiased Baseline
9,LGBM,group_size_50,0,0.771076523994812,0.9864816418978921,0.9771233045891419,0.9874941783942495,0.9931533803689653,9,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.036258920375718186, 'max_depth': 14, 'min_child_samples': 48, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 694, 'n_jobs': 30, 'num_leaves': 45, 'objective': None, 'random_state': None, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': True, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'enable_bundle': False}",none,Unbiased Baseline
10,LGBM,group_size_50,0,0.7360570687418937,0.9726237176227489,0.9899487608756312,0.9702655430116074,0.9963840029201741,10,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.12992633908243048, 'max_depth': 5, 'min_child_samples': 86, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 740, 'n_jobs': 30, 'num_leaves': 479, 'objective': None, 'random_state': None, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': True, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'enable_bundle': False}",none,Unbiased Baseline
11,LGBM,group_size_50,0,0.7626459143968871,0.979836033257813,0.9727757036788455,0.9862007146415412,0.9914473409664462,11,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.030081453141839333, 'max_depth': 7, 'min_child_samples': 55, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 280, 'n_jobs': 30, 'num_leaves': 18, 'objective': None, 'random_state': None, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': True, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'enable_bundle': False}",none,Unbiased Baseline
